,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
MSFT,John Thompson,Bradford Smith,Satya Nadella,William Gates,Amy Hood,Kevin Scott,Christopher Capossela,Kathleen Hogan,Jean-Philippe Courtois,Margaret Johnson,Reid Hoffman,Hugh Johnston,Teri List-Stoll,Charles Noski,Helmut Panke,Sandra Peterson,Penny Pritzker,Charles Scharf,Arne Sorenson,John Stanton,Padmasree Warrior,,,,,,,,,,,,,,
AAPL,Art Levinson,Timothy Cook,Luca Maestri,Jeffrey Williams,Katherine Adams,Philip Schiller,Eddy Cue,Craig Federighi,John Giannandrea,Deirdre O'Brien,Daniel Riccio,Johny Srouji,Jonathan Ive,James Bell,Albert Gore,Robert Iger,Andrea Jung,Ronald Sugar,Sue Wagner,,,,,,,,,,,,,,,,
AMZN,Jeffrey Bezos,Brian Olsavsky,Andrew Jassy,Jeffrey Wilke,David Zapolsky,Jeffrey Blackburn,Shelley Reynolds,Rosalind Brewer,Jamie Gorelick,Daniel Huttenlocher,Judith McGrath,Indra Nooyi,Jonathan Rubinstein,Thomas Ryder,Patricia Stonesifer,Wendell Weeks,,,,,,,,,,,,,,,,,,,
FB,Mark Zuckerberg,David Wehner,Sheryl Sandberg,Michael Schroepfer,Colin Stretch,David Fischer,Susan Desmond-Hellmann,Marc Andreessen,Kenneth Chenault,Peter Thiel,Jeffrey Zients,Deborah Crawford,,,,,,,,,,,,,,,,,,,,,,,
BRK.B,Warren Buffett,Charles Munger,Marc Hamburg,Gregory Abel,Ajit Jain,Howard Buffett,Ronald Olson,Stephen Burke,Susan Decker,William Gates,David Gottesman,Charlotte Guyman,Thomas Murphy,Walter Scott,Meryl Witmer,,,,,,,,,,,,,,,,,,,,
JPM,James Dimon,Daniel Pinto,Gordon Smith,Jennifer Piepszak,Mary Erdoes,Marianne Lake,Douglas Petno,Peter Scher,Lori Beer,Ashley Bacon,Stacey Friedman,Robin Leopold,Lee Raymond,Linda Bammann,James Bell,Stephen Burke,Todd Combs,James Crown,Timothy Flynn,Mellody Hobson,Laban Jackson,Michael Neal,,,,,,,,,,,,,
GOOGL,John Hennessy,Sergey Brin,Lawrence Page,Ruth Porat,Sundar Pichai,David Drummond,L. John Doerr,Roger Ferguson,Ann Mather,Alan Mulally,Kavitark Shriram,Robin Washington,,,,,,,,,,,,,,,,,,,,,,,
JNJ,Alex Gorsky,Paulus Stoffels,Joaquin Duato,Joseph Wolk,Peter Fasolo,Michael Ullmann,Ashley McEvoy,Jorge Mesquita,Thibaut Mongon,Michael Sneed,Jennifer Taubert,Kathryn Wengel,Anne Mulcahy,Mary Beckerle,D. Scott Davis,Ian Davis,Jennifer Doudna,Marillyn Hewson,Mark McClellan,William Perez,Charles Prince,A. Eugene Washington,Ronald Williams,,,,,,,,,,,,
XOM,Darren Woods,Liam Mallon,Sara Ortwein,Neil Chapman,Karen McKee,Andrew Swiger,Jack Williams,Randall Ebner,David Rosenthal,Robert Schleckser,Neil Hansen,Peter Clarke,Bradley Corson,Neil Duffin,Stephen Greenlee,Bryan Milton,James Spellings,Theodore Wojnar,Susan Avery,Angela Braly,Ursula Burns,Kenneth Frazier,Steven Kandarian,Douglas Oberhelman,Samuel Palmisano,Steven Reinemund,William Weldon,,,,,,,,
V,Alfred Kelly,Ryan McInerney,Vasant Prabhu,Graham Macmillan,Ellen Richey,Jennifer Grant,Lynne Biggar,Kelly Tullier,Charlotte Hogg,William Sheedy,Rajat Taneja,John Lundgren,Robert Matschullat,Lloyd Carney,Mary Cranston,Francisco Fernandez-Carbajal,Denise Morrison,Suzanne Nora Johnson,John Swainson,Maynard Webb,,,,,,,,,,,,,,,
PG,David Taylor,Jon Moeller,Steven Bishop,Gary Coombe,Mary Lynn Ferguson-McHugh,R. Alexandra Keith,Charles Pierce,Juan Posada,Matthew Price,Mohamed Samir,Magesvaran Suranjan,Carolyn Tastad,Mark Biegger,Valarie Sheppard,Kathleen Fish,Marc Pritchard,Jeffrey Schomburger,Yannis Skoufalos,Deborah Majoras,Walter McNerney,Francis Blake,Joseph Jimenez,Nelson Peltz,Angela Braly,Amy Chang,Kenneth Chenault,Scott Cook,Terry Lundgren,Margaret Whitman,Patricia Woertz,,,,,
BAC,Brian Moynihan,Thong Nguyen,Paul Donofrio,Dean Athanasia,Kathleen Knox,Andrew Sieg,Catherine Bessant,Thomas Montag,Sheri Bronstein,Andrea Smith,Geoffrey Greener,David Leitch,Jack Bovender,Denise Ramos,Sharon Allen,Susan Bies,Frank Bramble,Pierre de Weck,Arnold Donald,Linda Hudson,Monica Lozano,Thomas May,Lionel Nowell,Clayton Rose,Michael White,Thomas Woods,Robert Yost,Maria Zuber,,,,,,,
DIS,Robert Iger,Christine McCarthy,M. Jayne Parker,Alan Braverman,Zenia Mucha,Susan Arnold,Mary Barra,Safra Catz,John Chen,Francis deSouza,Michael Froman,Maria Lagomasino,Fred Langhammer,Aylwin Lewis,Mark Parker,Derica Rice,,,,,,,,,,,,,,,,,,,
T,Randall Stephenson,John Stephens,John Donovan,Lori Lee,Brian Lesser,John Stankey,David Huntley,David McAtee,William Blase,Samuel Di Piazza,Richard Fisher,Scott Ford,Glenn Hutchins,William Kennard,Debra Lee,Michael McCallister,Beth Mooney,Cynthia Taylor,Laura Tyson,Geoffrey Yang,Michael Viola,,,,,,,,,,,,,,
MA,Richard Haythornthwaite,Ajaypal Banga,Ann Cairns,Sachin Mehra,Ajay Bhalla,Gilberto Caldart,Carlo Enrico,Michael Froman,Hai Ling,Raghu Malhotra,Edward McLaughlin,Javier Perez,Ari Sarker,Andrea Scerch,Raj Seshadri,Paul Stoddart,Craig Vosburg,Michael Fraccaro,Raja Rajamannar,Timothy Murphy,Michael Miebach,Kevin Stanton,David Carlucci,Richard Davis,Steven Freiberg,Julius Genachowski,Choon Phong Goh,Merit Janow,Oki Matsumoto,Rima Qureshi,Jose Reyes Lagunes,Gabrielle Sulzberger,Jackson Tai,,
CSCO,Charles Robbins,Kelly Kramer,Gerri Elliott,Mark Chandler,David Goeckeler,Maria Martinez,Irving Tan,Wesley Bush,M. Michele Burns,Michael Capellas,Mark Garrett,Kristina Johnson,Roderick McGeary,Arun Sarin,Brenton Saunders,Steven West,,,,,,,,,,,,,,,,,,,
UNH,Stephen Hemsley,Andrew Witty,David Wichmann,John Rex,Marianne Short,D. Ellen Wilson,Thomas Roos,Richard Burke,William Ballard,Timothy Flynn,Michele Hooper,F. William McNabb,Valerie Montgomery Rice,John Noseworthy,Glenn Renwick,Gail Wilensky,Frances Jacobs,,,,,,,,,,,,,,,,,,
HD,Craig Menear,Carol Tome,Matthew Carey,Teresa Roseborough,TIMOTHY HOURIGAN,Ann-Marie Campbell,Edward Decker,Mark Holifield,William Lennie,Gregory Brenneman,Gerard Arpey,Ari Bousbib,Jeffery Boyd,J. Frank Brown,Albert Carey,Armando Codina,Helena Foulkes,Linda Gooden,Wayne Hewett,Manuel Kadre,,,,,,,,,,,,,,,
CVX,Michael Wirth,Pierre Breber,Rhonda Morris,Joseph Geagea,James Johnson,Mark Nelson,David Inchausti,Navin Mahajan,Colin Parfitt,Dale Walsh,Robert Pate,Ronald Sugar,Wanda Austin,John Frank,Alice Gast,Enrique Hernandez,Charles Moorman,Dambisa Moyo,Debra Reed-Klages,Inge Thulin,D. James Umpleby,Wayne Borduin,,,,,,,,,,,,,
VZ,Hans Vestberg,Matthew Ellis,Ronan Dunne,K. Guru Gowrappan,Rima Qureshi,Craig Silliman,Anthony Skiadas,Chris Bartlett,Clarence Otis,Lowell McAdam,Daniel Schulman,Shellye Archambeau,Mark Bertolini,Richard Carrion,Melanie Healey,Martha Keeth,Rodney Slater,Kathryn Tesija,Gregory Weaver,Brady Connor,,,,,,,,,,,,,,,
INTC,Andrew Bryant,Robert Swan,George Davis,Venkata Renduchintala,Sandra Rivera,Steven Rodgers,Leslie Culbertson,Navin Shenoy,Michael Mayberry,Michelle Holthaus,Ann Kelleher,Daniel McNamara,Allon Stabinsky,Todd Underwood,Aneel Bhusri,Reed Hundt,Omar Ishrak,Risa Lavizzo-Mourey,Tsu-Jae Liu,Gregory Smith,Andrew Wilson,Frank Yeary,,,,,,,,,,,,,
PFE,Ian Read,Albert Bourla,Frank D'Amelio,Mikael Dolsten,Michael Goettler,Angela Hwang,John Young,Dawn Rogers,Lidia Fonseca,Rady Johnson,Douglas Lankler,Freda Lewis-Hall,Alexander Mackenzie,Sally Susman,Scott Gottlieb,Dan Littman,Ronald Blaylock,Wyllie Don Cornwell,Joseph Echevarria,Helen Hobbs,James Kilts,Shantanu Narayen,Suzanne Nora Johnson,James Smith,,,,,,,,,,,
MRK,Kenneth Frazier,Robert Davis,Steven Mizell,Jim Scholefield,Michael Nally,Jennifer Zachary,Sanat Chattopadhyay,Frank Clyburn,Richard DeLuca,Julie Gerberding,Roger Perlmutter,Rita Karachun,Leslie Brun,Thomas Cech,Mary Coe,Pamela Craig,Thomas Glocer,Rochelle Lazarus,Paul Rothman,Patricia Russo,Inge Thulin,Wendell Weeks,Peter Wendell,,,,,,,,,,,,
KO,James Quincey,Brian Smith,John Murphy,Nikos Koumettis,Manuel Manuel,Alfredo Rivera,Lisa Chang,Francisco Crespo,James Dinkins,Bernhard Goepelt,Robert Long,Jennifer Mann,Beatriz Perez,Barry Simpson,Mark Randazza,Ashna Zaheer,Maria Lagomasino,Herbert Allen,Ronald Allen,Marc Bolland,Ana Botin-Sanz de Sautuola O'Shea,Christopher Davis,Barry Diller,Helene Gayle,Alexis Herman,Robert Kotick,Caroline Tsay,David Weinberg,Tim Leveridge,,,,,,
WFC,Elizabeth Duke,C. Parker,John Shrewsberry,Amanda Norton,Richard Levy,Mary Mack,Avid Modjtabai,Perry Pelos,Jonathan Weiss,Debra Chrapaty,Gary Owen,Douglas Edwards,Steve Hagerman,Maria Tejada,Charles Noski,John Baker,Celeste Clark,Theodore Craver,Wayne Hewett,Donald James,Maria Morris,Juan Pujadas,James Quigley,Ronald Sargent,Suzanne Vautrinot,,,,,,,,,,
CMCSA,Brian Roberts,Michael Cavanagh,Dana Strong,Arthur Block,Stephen Burke,David Cohen,David Watson,Daniel Murdock,Edward Breen,Sheldon Bonovitz,Johnathan Rodgers,Kenneth Bacon,Madeline Bell,Gerald Hassell,Jeffery Honickman,Maritza Montiel,Asuka Nakahara,David Novak,,,,,,,,,,,,,,,,,
PEP,Ramon Laguarta,Kirk Tanner,Steven Williams,Hugh Johnston,Ram Krishnan,Roberto Martinez,Silviu Popovici,Paula Santilli,Michael Spanos,Ronald Schellekens,David Yawman,Marie Gallagher,Rene Lammers,Ian Cook,Shona Brown,Cesar Conde,Dina Dublon,Richard Fisher,Michelle Gass,William Johnson,David Page,Robert Pohlad,Daniel Vasella,Darren Walker,Alberto Weisser,,,,,,,,,,
BA,Dennis Muilenburg,Gregory Smith,Leanne Caret,Stanley Deal,Timothy Keating,J. Michael Luttig,Kevin McAllister,Gregory Hyslop,Theodore Colbert,Brett Gerry,Heidi Capozzi,Bertrand-Marc Allen,Jenette Ramos,Diana Sands,Anne Toulouse,David Calhoun,Robert Bradway,Arthur Collins,Kenneth Duberstein,Edmund Giambastiani,Lynn Good,Nikki Haley,Lawrence Kellner,Caroline Kennedy,Edward Liddy,Susan Schwab,Ronald Williams,Mike Zafirovski,,,,,,,
C,John Dugan,Michael Corbat,Mark Mason,Barbara Desoer,Francisco Aristeguieta,Stephen Bird,James Cowles,Jane Fraser,Raja Akram,W. Bradford Hu,Sara Wechter,Rohan Weerasinghe,Michael Whitaker,Ellen Costello,Duncan Hennes,Peter Henry,S. Leslie Ireland,Lew Jacobs,Renee James,Eugene McQuade,Gary Reiner,Diana Taylor,James Turley,Deborah Wright,Ernesto Zedillo Ponce de Leon,,,,,,,,,,
MCD,Enrique Hernandez,Stephen Easterbrook,Kevin Ozan,Ian Borden,Joseph Erlinger,Christopher Kempczinski,Daniel Henry,Silvia Lagnado,Jerome Krulewitch,Francesca Debiase,David Fairhurst,Robert Gibbs,Catherine Hoovel,Lloyd Dean,Robert Eckert,Margaret Georgiadis,Richard Lenny,John Mulligan,Sheila Penrose,John Rogers,Paul Walsh,Miles White,,,,,,,,,,,,,
WMT,Greg Penner,C. Douglas McMillon,M. Brett Biggs,Rachel Brand,Daniel Bartlett,Jacqueline Canney,Gregory Foran,John Furner,Marc Lore,Judith McKenna,David Chojnowski,Suresh Kumar,Thomas Horton,S. Robson Walton,Steuart Walton,Cesar Conde,Stephen Easterbrook,Timothy Flynn,Sarah Friar,Carla Harris,Marissa Mayer,Steven Reinemund,,,,,,,,,,,,,
ABT,Miles White,Robert Ford,Brian Yoor,Hubert Allen,Stephen Fussell,Jaime Contreras,Daniel Salvadori,William Osborn,Robert Alpern,Roxanne Austin,Sally Blount,Michelle Kumbier,Edward Liddy,Nancy McKinstry,Phebe Novakovic,Samuel Scott,Daniel Starks,John Stratton,Glenn Tilton,,,,,,,,,,,,,,,,
ADBE,Shantanu Narayen,Donna Morris,Abhay Parasnis,Ann Lewnes,Dana Rao,Bryan Lamkin,Scott Belsky,Matthew Thompson,Mark Garfield,James Daley,Amy Banse,Frank Calderoni,Laura Desmond,Charles Geschke,Kathleen Oberg,Dheeraj Pandey,David Ricks,Daniel Rosensweig,John Warnock,,,,,,,,,,,,,,,,
NFLX,Reed Hastings,Spencer Neumann,Jackie Lee-Joe,David Hyman,Jessica Neal,Gregory Peters,Theodore Sarandos,Rachel Whetstone,Jay Hoag,Mathias Dopfner,Susan Rice,Richard Barton,Rodolphe Belmer,Timothy Haley,Leslie Kilgore,Ann Mather,Bradford Smith,Anne Sweeney,,,,,,,,,,,,,,,,,
MDT,Omar Ishrak,Karen Parkhill,Carol Surface,Michael Coyle,Hooman Hakami,Robert ten Hoedt,Geoffrey Martha,Robert White,Richard Kuntz,Bradley Lerman,Richard Anderson,Craig Arnold,Scott Donnelly,Andrea Goldsmith,Randall Hogan,Michael Leavitt,James Lenehan,Elizabeth Nabel,Denise O'Leary,Kendall Powell,Ryan Weispfenning,,,,,,,,,,,,,,
ORCL,Lawrence Ellison,William West,Dorian Daley,Brady Meltzer,Galina Patil,Safra Catz,Mark Hurd,Jeffrey Henley,Rona Fairhead,Charles Moorman,William Parrett,Jeffrey Berg,Michael Boskin,Bruce Chizen,George Conrades,Hector Garcia-Molina,Renee James,Leon Panetta,Naomi Seligman,,,,,,,,,,,,,,,,
IBM,Virginia Rometty,James Kavanaugh,Diane Gherson,John Kelly,Michelle Browdy,Kenneth Keverian,Martin Schroeter,Robert Del Bene,Michael Eskew,David Farr,Alex Gorsky,Michelle Howard,Shirley Jackson,Andrew Liveris,Martha Pollack,Joseph Swedish,Sidney Taurel,Peter Voser,Frederick Waddell,,,,,,,,,,,,,,,,
PM,Louis Camilleri,Marc Firestone,Andre Calantzopoulos,Martin King,Drago Azinovic,Frederic De Wilde,Stacey Kennedy,Marco Mariotti,Mario Masseroli,Paul Riley,Miroslaw Zielinski,Jacek Olczak,Massimo Andolina,Werner Barth,Charles Bendotti,Michael Kunst,Marian Salzman,Michael Voegele,Andreas Kurali,Frank De Rooij,J.B. Simko,Jerry Whitson,Deepak Mishra,Jaime Suarez,Massimo Ferragamo,Werner Geissler,Lisa Hook,Jennifer Li,Jun Makihara,Kalpana Morparia,Lucio Noto,Frederik Paulsen,Robert Polet,Stephen Wolf,Nicholas Rolli
PYPL,John Donahoe,Daniel Schulman,John Rainey,Allison Johnson,Aaron Karczmer,Jonathan Auerbach,Mark Britto,A. Louise Pentland,David Moffett,Rodney Adkins,Wences Casares,Jonathan Christodoro,David Dorman,Belinda Johnson,Gail McGovern,Deborah Messemer,Ann Sarnoff,Frank Yeary,,,,,,,,,,,,,,,,,
UNP,Lance Fritz,Robert Knight,V. James Vena,Rhonda Ferguson,Scott Moore,Todd Rynaski,Thomas Lischer,Kenyatta Rocker,Michael McCarthy,Andrew Card,Erroll Davis,William DeLaney,David Dillon,Deborah Hopkins,Jane Lute,Thomas Mclarty,Bhavesh Patel,Jose Villarreal,Mike Miller,,,,,,,,,,,,,,,,
HON,Darius Adamczyk,Gregory Lewis,Que Thanh Dallara,Rajeev Gautam,Vikram Kapur,Timothy Mahoney,Michael Nefkens,John Waldron,Anne Madden,Mark James,Torsten Pilz,Jaime Chico Pardo,Duncan Angove,William Ayer,Kevin Burke,D. Scott Davis,Linnet Deily,Judd Gregg,Clive Hollick,Grace Lieblein,George Paz,Robin Washington,Mark Macaluso,,,,,,,,,,,,
ACN,David Rowland,Omar Abbosh,Gianfranco Casati,Daniel London,Richard Lumb,Jean-Marc Ollagnier,Julie Sweet,Alexander van't Noordende,Johan Deblaere,Ellyn Shook,Richard Clark,Chad Jerdee,Athina Kanioura,Gene Reznik,Marjorie Magner,Jaime Ardila,Charles Giancarlo,Herbert Hainer,Nancy McKinstry,Gilles Pelisson,Paula Price,Venkata Renduchintala,Arun Sarin,Frank Tang,Tracey Travis,Mark Broek,,,,,,,,,
COST,Hamilton James,W. Craig Jelinek,Richard Galanti,Paul Moulton,James Klauer,Franz Lazarus,Russ Miller,James Murphy,Joseph Portera,Timothy Rose,Ron Vachris,Susan Decker,Kenneth Denman,John Meisenbach,Charles Munger,Jeffrey Raikes,John Stanton,Mary Wilderotter,,,,,,,,,,,,,,,,,
CRM,Keith Block,Mark Hawkins,Alexandre Dayon,Cynthia Robbins,Bret Taylor,Marc Benioff,Parker Harris,Maria Martinez,Joseph Allanson,Amy Weaver,Sanford Robertson,Craig Conway,Alan Hassenfeld,Neelie Kroes,Colin Powell,John Roos,Bernard Tyson,Robin Washington,Maynard Webb,Susan Wojcicki,John Cummings,,,,,,,,,,,,,,
TXN,Richard Templeton,Rafael Lizardi,Ahmad S. Bahai,Ellen Barker,Cynthia Trochu,Niels Anderskouv,R. Gregory Delagi,Kyle Flessner,Haviv Ilan,Hagop Kozanian,Julie Van Haren,Darla Whitaker,Bing Xie,Mark Blinn,Todd Bluedorn,Janet Clark,Carrie Cox,Martin Craighead,Jean Hobby,Ronald Kirk,Pamela Patsley,Robert Sanchez,Dave Pahl,,,,,,,,,,,,
AVGO,Henry Samueli,Hock Tan,Thomas Krause,Bryan Ingram,Charlie Kawwas,Kirsten Spears,Mark Brazeal,Eddy Hartenstein,Diane Bryant,Gayla Delly,Check Kian Low,Peter Marks,Justine Page,Harry You,,,,,,,,,,,,,,,,,,,,,
SBUX,Myron Ullman,Kevin Johnson,Mellody Hobson,Patrick Grismer,John Culver,Rosalind Brewer,Rachel Gonzalez,Lucy Helm,Jill Walker,Mary Dillon,Jorgen Knudstorp,Satya Nadella,Joshua Ramo,Clara Shih,Javier Teruel,,,,,,,,,,,,,,,,,,,,
AMGN,Robert Bradway,David Meline,Murdo Gordon,David Reese,Esteban Santos,Cynthia Patton,Jonathan Graham,Lori Johnston,David Piacquad,Robert Eckert,Wanda Austin,Brian Druker,Gregory Garland,Fred Hassan,Rebecca Henderson,Charles Holley,Tyler Jacks,Ellen Kullman,Ronald Sugar,Robert Williams,,,,,,,,,,,,,,,
TMO,Jim Manzi,Marc Casper,Stephen Williamson,Mark Stevenson,Michael Boxer,Patrick Durbin,Gregory Herrema,Michel Lagarde,Peter Hornstra,Nelson Chai,C. Martin Harris,Tyler Jacks,Judy Lewent,Thomas Lynch,James Mullen,Lars Sorensen,Scott Sperling,Elaine Ullian,Dion Weisler,Kenneth Apicerno,,,,,,,,,,,,,,,
UTX,Gregory Hayes,Akhil Johri,David Gitlin,Robert Leduc,Judith Marks,Robert McDonough,Robert Ortberg,Elizabeth Amato,Charles Gill,Michael Dumais,Paul Eremenko,Robert Bailey,David Whitehouse,Ellen Kullman,Lloyd Austin,Diane Bryant,John Faraci,Jean-Pierre Garnier,Christopher Kearney,Marshall Larsen,Harold McGraw,Margaret O'Sullivan,Denise Ramos,Fredric Reynolds,Brian Rogers,,,,,,,,,,
